Timestamp,GSR,HR,GyroX,GyroY,GyroZ
2025-09-13 17:07:36.926895,2644,57,5052,8,15644
2025-09-13 17:07:37.142174,2639,57,4988,84,15780
2025-09-13 17:07:37.372047,2642,57,5108,84,15548
2025-09-13 17:07:37.545233,2642,57,4988,76,15696
2025-09-13 17:07:37.761433,2640,57,5060,144,15752
2025-09-13 17:07:37.941593,2647,57,4840,16,15780
2025-09-13 17:07:38.194885,2641,57,5136,112,15712
2025-09-13 17:07:38.397553,2648,57,5252,56,15700
2025-09-13 17:07:38.625826,2641,57,4916,112,15840
2025-09-13 17:07:38.814146,2627,57,4980,120,15736
2025-09-13 17:07:38.966395,2640,57,5172,64,15636
2025-09-13 17:07:39.167296,2641,57,5220,140,15640
2025-09-13 17:07:39.386365,2655,57,4984,112,15700
2025-09-13 17:07:39.578349,2647,57,5028,140,15692
2025-09-13 17:07:39.811868,2646,57,5036,100,15832
2025-09-13 17:07:40.047043,2655,57,5276,60,15620
2025-09-13 17:07:40.243980,2653,57,5100,65524,15740
2025-09-13 17:07:40.472898,2636,57,5180,76,15692
2025-09-13 17:07:40.700927,2638,57,5016,112,15768
2025-09-13 17:07:40.936906,2642,57,4956,104,15524
2025-09-13 17:07:41.198765,2643,57,5160,65516,15648
2025-09-13 17:07:41.464982,2636,57,5200,65504,15652
2025-09-13 17:07:41.681197,2638,57,5136,168,15548
2025-09-13 17:07:41.944199,2642,57,5088,64,15672
2025-09-13 17:07:42.132026,2647,57,5032,104,15680
2025-09-13 17:07:42.346887,2642,57,5048,116,15616
2025-09-13 17:07:42.566761,2653,57,5032,144,15512
2025-09-13 17:07:42.815281,2653,57,5332,76,15808
2025-09-13 17:07:43.058318,2617,57,5004,116,15648
2025-09-13 17:07:43.289462,2641,54,5028,80,15800
2025-09-13 17:07:43.538123,2640,54,5128,0,15656
2025-09-13 17:07:43.784383,2655,54,5188,100,15792
2025-09-13 17:07:44.037938,2644,54,5144,72,15740
2025-09-13 17:07:44.285037,2636,54,4980,136,15848
2025-09-13 17:07:44.522010,2642,54,5084,144,15672
2025-09-13 17:07:44.779632,2616,54,5240,120,15612
2025-09-13 17:07:45.012066,2655,54,5296,36,15664
2025-09-13 17:07:45.228923,2634,54,5132,168,15736
2025-09-13 17:07:45.455889,2634,54,5092,92,15768
2025-09-13 17:07:45.701994,2640,54,5040,140,15660
2025-09-13 17:07:45.929618,2642,54,5076,80,15532
2025-09-13 17:07:46.132264,2632,54,5172,92,15664
2025-09-13 17:07:46.404054,2650,54,5000,120,15604
2025-09-13 17:07:46.641006,2632,54,5120,108,15716
2025-09-13 17:07:46.807250,2643,54,5196,140,15576
2025-09-13 17:07:47.019277,2642,54,5116,180,15804
2025-09-13 17:07:47.248950,2651,54,5012,0,15744
2025-09-13 17:07:47.488874,2655,54,5156,124,15584
2025-09-13 17:07:47.716945,2635,54,5104,124,15740
2025-09-13 17:07:47.955793,2647,54,5168,96,15656
2025-09-13 17:07:48.215184,2655,54,5124,156,15628
2025-09-13 17:07:48.472011,2634,54,5108,88,15580
2025-09-13 17:07:48.719376,2642,54,5100,76,15740
2025-09-13 17:07:48.960096,2651,54,5240,116,15696
2025-09-13 17:07:49.187292,2638,54,5144,96,15576
2025-09-13 17:07:49.402526,2644,54,5132,72,15528
2025-09-13 17:07:49.636090,2655,54,5156,120,15664
2025-09-13 17:07:49.854846,2655,54,5096,116,15596
2025-09-13 17:07:50.046132,2640,54,5148,60,15704
2025-09-13 17:07:50.224988,2632,54,5092,88,15796
2025-09-13 17:07:50.475872,2643,54,5068,65532,15660
2025-09-13 17:07:50.749775,2640,54,5008,116,15744
2025-09-13 17:07:51.016948,2640,54,5176,80,15776
2025-09-13 17:07:51.256917,2642,54,5124,128,15584
2025-09-13 17:07:51.471602,2644,54,5164,88,15760
2025-09-13 17:07:51.715418,2640,54,5148,56,15768
2025-09-13 17:07:51.951124,2655,54,5008,8,15764
2025-09-13 17:07:52.158512,2643,54,5132,12,15668
2025-09-13 17:07:52.393076,2641,54,5024,136,15684
2025-09-13 17:07:52.625386,2644,54,5112,92,15640
2025-09-13 17:07:52.837175,2642,54,5072,176,15796
2025-09-13 17:07:53.067574,2653,54,5076,144,15764
2025-09-13 17:07:53.286973,2646,54,4968,184,15824
2025-09-13 17:07:53.538601,2644,54,5208,120,15684
2025-09-13 17:07:53.765981,2640,54,5052,72,15796
2025-09-13 17:07:53.970041,2636,54,5040,124,15720
2025-09-13 17:07:54.185089,2640,54,5156,132,15596
2025-09-13 17:07:54.387032,2624,54,5176,124,15616
2025-09-13 17:07:54.630560,2649,54,5068,168,15716
2025-09-13 17:07:54.853420,2655,54,4940,148,15720
2025-09-13 17:07:55.111597,2644,54,5036,64,15740
2025-09-13 17:07:55.341436,2644,54,5144,92,15720
2025-09-13 17:07:55.565549,2641,54,5064,112,15736
2025-09-13 17:07:55.812788,2634,54,5088,16,15672
2025-09-13 17:07:56.013242,2642,54,5180,72,15748
2025-09-13 17:07:56.218202,2640,54,5244,24,15640
2025-09-13 17:07:56.458079,2599,54,5160,44,15740
2025-09-13 17:07:56.658895,2642,54,5172,124,15736
2025-09-13 17:07:56.902316,2655,54,5016,84,15696
2025-09-13 17:07:57.108885,2654,54,5112,120,15672
2025-09-13 17:07:57.330293,2655,54,5076,168,15652
2025-09-13 17:07:57.547094,2624,54,5084,48,15788
2025-09-13 17:07:57.774728,2646,54,5064,156,15692
2025-09-13 17:07:57.994896,2642,54,5100,100,15664
2025-09-13 17:07:58.246963,2644,54,5108,140,15696
2025-09-13 17:07:58.449050,2633,54,5144,56,15756
2025-09-13 17:07:58.666198,2644,54,5020,188,15612
2025-09-13 17:07:58.891429,2639,54,5044,76,15664
2025-09-13 17:07:59.102886,2643,54,5148,44,15652
2025-09-13 17:07:59.323672,2624,54,5188,36,15596
2025-09-13 17:07:59.559315,2634,54,5144,56,15688
2025-09-13 17:07:59.782937,2641,54,5172,36,15716
2025-09-13 17:07:59.949355,2644,54,5032,176,15700
2025-09-13 17:08:00.172156,2644,54,5076,4,15672
2025-09-13 17:08:00.412398,2644,54,5152,92,15632
2025-09-13 17:08:00.660007,2632,54,5128,65508,15692
2025-09-13 17:08:00.906750,2643,54,5056,160,15840
2025-09-13 17:08:01.174794,2642,54,5032,16,15720
2025-09-13 17:08:01.417065,2642,54,4992,148,15532
2025-09-13 17:08:01.684824,2642,54,5120,112,15572
2025-09-13 17:08:01.930640,2628,54,5096,28,15664
2025-09-13 17:08:02.147323,2649,54,5084,128,15672
2025-09-13 17:08:02.412746,2640,54,5056,128,15848
2025-09-13 17:08:02.627725,2636,54,5120,65528,15580
2025-09-13 17:08:02.857479,2641,54,5048,200,15652
2025-09-13 17:08:03.109356,2649,54,4972,72,15680
2025-09-13 17:08:03.317794,2628,54,5060,104,15820
2025-09-13 17:08:03.550037,2643,54,5124,144,15768
2025-09-13 17:08:03.755180,2648,54,5204,64,15696
2025-09-13 17:08:03.952206,2637,54,5208,140,15716
2025-09-13 17:08:04.146234,2638,54,5076,65516,15684
2025-09-13 17:08:04.351093,2631,54,5180,124,15636
2025-09-13 17:08:04.524904,2642,54,5156,52,15624
2025-09-13 17:08:04.784704,2644,54,5040,192,15736
2025-09-13 17:08:05.027981,2656,54,5084,28,15616
2025-09-13 17:08:05.272680,2645,54,5064,204,15604
2025-09-13 17:08:05.514684,2642,54,5136,136,15672
2025-09-13 17:08:05.744150,2639,54,5080,24,15696
2025-09-13 17:08:05.987563,2648,54,5044,140,15744
2025-09-13 17:08:06.217963,2643,54,5100,140,15864
2025-09-13 17:08:06.343089,2646,54,5116,52,15596
2025-09-13 17:08:06.558059,2653,54,5124,156,15728
2025-09-13 17:08:06.759478,2655,54,5020,12,15744
2025-09-13 17:08:06.995175,2633,54,5024,16,15744
2025-09-13 17:08:07.217394,2655,54,5160,128,15712
2025-09-13 17:08:07.420223,2645,54,5124,92,15664
2025-09-13 17:08:07.632223,2632,54,5072,120,15676
2025-09-13 17:08:07.867067,2646,54,5168,40,15644
2025-09-13 17:08:08.072679,2647,54,5000,36,15708
2025-09-13 17:08:08.301466,2645,54,4972,65512,15712
2025-09-13 17:08:08.548997,2640,54,5164,36,15560
2025-09-13 17:08:08.784810,2641,54,5148,64,15596
2025-09-13 17:08:09.035740,2645,54,5156,88,15776
2025-09-13 17:08:09.246131,2643,54,4992,108,15620
2025-09-13 17:08:09.497266,2636,54,5028,32,15664
2025-09-13 17:08:09.729040,2654,54,5128,104,15608
2025-09-13 17:08:09.981727,2643,54,5216,76,15620
2025-09-13 17:08:10.216573,2641,54,5064,104,15716
2025-09-13 17:08:10.451963,2655,54,5104,68,15820
2025-09-13 17:08:10.693090,2640,54,4812,160,15696
2025-09-13 17:08:10.922487,2640,54,5168,68,15664
2025-09-13 17:08:11.163693,2614,54,5156,52,15524
2025-09-13 17:08:11.406699,2642,54,4968,104,15612
2025-09-13 17:08:11.649771,2637,54,5108,40,15720
2025-09-13 17:08:11.862800,2642,54,4996,72,15752
2025-09-13 17:08:12.089290,2649,54,5168,188,15672
2025-09-13 17:08:12.291801,2642,54,5008,76,15572
2025-09-13 17:08:12.533213,2647,54,5052,160,15696
2025-09-13 17:08:12.764571,2647,54,4976,52,15580
2025-09-13 17:08:12.998661,2640,54,4996,216,15664
2025-09-13 17:08:13.247787,2645,54,4976,160,15652
2025-09-13 17:08:13.452812,2641,54,5056,68,15788
2025-09-13 17:08:13.694180,2641,54,5084,224,15664
2025-09-13 17:08:13.905275,2644,54,5164,180,15836
2025-09-13 17:08:14.121258,2640,54,5088,160,15700
2025-09-13 17:08:14.347785,2655,54,5016,56,15592
2025-09-13 17:08:14.554155,2639,54,4976,92,15624
2025-09-13 17:08:14.722700,2647,54,5136,204,15752
2025-09-13 17:08:14.959302,2642,54,5196,164,15648
2025-09-13 17:08:15.161917,2644,54,5056,0,15628
2025-09-13 17:08:15.362573,2640,54,5020,68,15632
2025-09-13 17:08:15.591860,2646,54,5172,168,15608
2025-09-13 17:08:15.803117,2655,54,5088,36,15716
2025-09-13 17:08:16.036875,2642,54,5164,128,15648
2025-09-13 17:08:16.261347,2641,54,5216,24,15644
2025-09-13 17:08:16.489851,2655,54,5116,96,15776
2025-09-13 17:08:16.717806,2644,54,5048,100,15788
2025-09-13 17:08:16.948636,2641,54,5116,56,15684
2025-09-13 17:08:17.148517,2644,54,5060,108,15548
2025-09-13 17:08:17.284902,2640,54,4968,116,15632
2025-09-13 17:08:17.513251,2633,56,5176,128,15776
2025-09-13 17:08:17.749052,2641,56,5160,48,15624
2025-09-13 17:08:17.998186,2659,56,5016,16,15624
2025-09-13 17:08:18.268170,2616,56,5176,172,15540
2025-09-13 17:08:18.507868,2647,56,5184,0,15740
2025-09-13 17:08:18.694722,2640,56,5032,120,15600
2025-09-13 17:08:18.888341,2644,56,5076,124,15608
2025-09-13 17:08:19.069718,2640,56,5072,220,15608
2025-09-13 17:08:19.299000,2656,56,5124,144,15608
2025-09-13 17:08:19.561649,2641,56,5068,188,15696
2025-09-13 17:08:19.834085,2646,56,5340,180,15644
2025-09-13 17:08:20.081886,2640,56,5288,116,15780
2025-09-13 17:08:20.331638,2651,56,5312,88,15672
2025-09-13 17:08:20.558195,2641,56,5012,128,15704
2025-09-13 17:08:20.821050,2652,56,5020,65520,15652
2025-09-13 17:08:21.061765,2655,56,5100,32,15524
2025-09-13 17:08:21.319411,2643,56,5084,96,15744
2025-09-13 17:08:21.576304,2655,56,5040,132,15680
2025-09-13 17:08:21.832855,2643,56,5200,76,15720
2025-09-13 17:08:22.063444,2641,56,5132,92,15592
2025-09-13 17:08:22.274786,2642,56,5256,84,15732
2025-09-13 17:08:22.488060,2642,56,5140,0,15556
2025-09-13 17:08:22.692400,2655,56,5100,65492,15676
2025-09-13 17:08:22.929210,2641,56,5100,36,15696
2025-09-13 17:08:23.146954,2645,56,5068,100,15448
2025-09-13 17:08:23.348944,2640,56,5168,68,15728
2025-09-13 17:08:23.566874,2654,56,5156,140,15716
2025-09-13 17:08:23.786105,2643,56,5140,100,15696
2025-09-13 17:08:24.008015,2639,56,5156,8,15608
2025-09-13 17:08:24.178037,2645,56,5076,76,15680
2025-09-13 17:08:24.385266,2644,56,5060,20,15668
2025-09-13 17:08:24.629056,2631,56,5056,228,15436
2025-09-13 17:08:24.884964,2634,56,5112,148,15716
2025-09-13 17:08:25.113396,2641,56,5024,144,15856
2025-09-13 17:08:25.364739,2610,56,4964,84,15704
2025-09-13 17:08:25.584640,2647,56,5012,72,15640
2025-09-13 17:08:25.819508,2612,56,5260,140,15716
2025-09-13 17:08:26.055941,2647,56,5236,104,15576
2025-09-13 17:08:26.286053,2624,56,5048,65496,15804
2025-09-13 17:08:26.508017,2643,56,4988,116,15672
2025-09-13 17:08:26.728891,2648,56,5056,56,15628
2025-09-13 17:08:26.954423,2645,56,5040,24,15728
